#ra,dec,filter(2==r),jd,mag,flux
312.2000402,-12.937589,2,2458366.8165972,14.915704991336776,26090.23575511897
312.19999,-12.937569300000002,2,2458372.7942939997,14.883210812415172,27304.590967480966
312.2000799,-12.937581199999999,2,2458378.773206,14.908487778770006,26475.54375964392
312.19999889999997,-12.937465099999999,2,2458390.7317477,14.935034809637365,25710.236769471296
312.1999966,-12.937688699999999,2,2458423.5843287003,14.895455159206332,19576.630163131333
312.2000634,-12.937465800000002,2,2458423.6053009,14.913986155900613,25400.691369571112
312.2000017,-12.937501199999998,2,2458426.6065741,15.046843535600873,3409.5933533572556
312.2001084,-12.9376073,2,2458432.584537,14.891399264348628,26821.32905368379
312.1999881,-12.9376547,2,2458465.5731019,14.576446405440501,34993.02103450321
312.2001046000001,-12.9376483,2,2458465.5780208,14.570698146943734,35123.738993181985
312.199779,-12.9376223,2,2458465.5829398,14.567152422682273,34944.516103274334
312.2000769,-12.9374494,2,2458466.5830787,14.821279879606395,27502.238765658818
312.2000766000001,-12.9375171,2,2458466.5879398,14.82289774479703,26288.203140069578
312.2000633,-12.937630300000002,2,2458471.5853704,14.572629368079514,16941.359280512985
312.2000878,-12.9376127,2,2458471.5902778,14.593078444325116,15956.168807897564
312.1999743,-12.9376256,2,2458472.5845255,14.912606788065506,25269.537007149032
312.2000047,-12.9374967,2,2458472.5864583,14.930385272593439,24604.009778894226
312.199946,-12.9375276,2,2458472.5913194,14.908392481830194,24978.307471434742
312.20007389999995,-12.9376006,2,2458473.5722338,14.869178530728522,26490.404367208437
312.1999318,-12.9375144,2,2458473.5751736,14.878786397705529,26397.660610118768
312.2000478,-12.9375132,2,2458473.5771065,14.84774251154661,26936.613532967378
312.2001111,-12.9374936,2,2458473.5819792,14.829297775161603,27169.4526896237
312.1999376,-12.9376801,2,2458473.5868403,14.78022791248648,28336.671465469222
312.2000628,-12.937498800000002,2,2458474.5749653,14.598484573109438,33383.06213243677
312.2001524,-12.9374358,2,2458474.5851042005,14.619936368534963,32055.71384535243
312.2002415,-12.9374695,2,2458474.590162,14.640368115170537,31458.11921578417
