#ra,dec,filter(2==r),jd,mag,flux
111.991978,-9.4228013,2,2458491.8211111,15.061301484740909,29195.73453306566
111.99201409999998,-9.4226427,2,2458491.8261458,15.063167655984554,27087.750314436118
111.9920379,-9.4225398,2,2458491.8622222,14.970320746745653,32778.698173631376
111.9921106,-9.4225954,2,2458491.8658796,14.95421670851479,28885.062833333846
111.992155,-9.4227345,2,2458491.8667824,14.913030929799891,31248.388692490644
111.991887,-9.4225048,2,2458491.8699884,14.916125189592757,35090.52970954823
111.9921343,-9.422654199999998,2,2458491.8745486,14.943209378230454,30093.745835686736
111.9920329,-9.4227567,2,2458491.8750116,14.937990588682467,28044.245774193616
111.9919973,-9.422615,2,2458491.8781944,14.880911920773926,29080.05554291787
111.9920222,-9.4225287,2,2458491.8786574,14.929785673680454,34255.138715659785
111.9921344,-9.422756800000002,2,2458491.8800231004,14.917867403563964,34344.17105857574
111.9921423,-9.42269,2,2458491.8836806,14.927088248790572,34129.08935945734
111.99205729999998,-9.4226165,2,2458491.8850462995,14.920742804172132,34665.93180458505
111.9920225,-9.4226516,2,2458491.8873264,14.922585730687448,34425.93209113019
111.99216,-9.4226305,2,2458491.8877894,14.903621309230537,34932.64547366126
111.9922005,-9.4226886,2,2458491.8887037,14.878658556024739,35489.23007415447
111.9921456,-9.422862,2,2458491.8905208,14.94046667210161,34001.12846958633
111.9919798,-9.4228793,2,2458491.8932639,14.922882369330413,34872.81872578393
111.9920472,-9.4227497,2,2458491.8937153,14.927243351317895,34465.34732596163
111.992244,-9.422789,2,2458491.8941782,14.896960271775104,34941.045143043404
111.992055,-9.4225806,2,2458491.8960069,14.903547247857565,34976.88272441222
111.99183329999998,-9.4227071,2,2458491.8964583,14.91239228608555,35101.290658152626
111.9919487,-9.4225931,2,2458491.89875,14.93699167329791,33502.97171474023
111.9920817,-9.422798599999998,2,2458491.9001157,14.916306331927132,34409.42910747257
111.9922,-9.4227429,2,2458491.9005671,14.936976099893883,33932.00794695766
111.9920321,-9.4228267,2,2458491.9032986,14.931813350363592,33765.61465600528
111.992085,-9.422773800000002,2,2458491.9069560003,14.963981234938235,33052.742941230994
111.992053,-9.4227244,2,2458491.9092477,14.933719033468762,33936.91702586509
