#ra,dec,filter(2==r),jd,mag,flux
231.3456418,3.9841363,2,2458258.7525,14.435600323664698,49796.62057176485
231.3457591,3.9841017,2,2458269.8371412004,14.74436526399603,19311.405996320354
231.3458054,3.9840758999999997,2,2458272.7929051,14.746755197256931,39284.2006948831
231.3458194,3.9840166,2,2458272.7929051,14.746755197256931,39284.2006948831
231.3457688,3.9841297,2,2458279.7522917003,14.774546659620547,39273.656393942496
231.3457545,3.9841312000000006,2,2458279.7522917003,14.774546659620547,39273.656393942496
231.34581540000002,3.9840133,2,2458292.7536343,14.75302287762134,40170.83405498922
231.34579810000002,3.9841165000000003,2,2458295.7719329,14.752029636703703,39444.65349528565
231.3457788,3.9840942000000004,2,2458295.7719329,14.746519662509142,39645.33892887468
231.3458986,3.9838836000000004,2,2458298.77125,14.74415571445358,39226.33330661626
231.34580490000002,3.9840652000000003,2,2458298.77125,14.76222617698232,38578.87235212109
231.3457989,3.9839526,2,2458328.7201157003,14.701437747856009,239698.27071348342
231.34578540000004,3.9840910000000003,2,2458331.6609028,14.790614141877047,35314.60421077038
231.3459613,3.9839643,2,2458331.6609028,14.787170924439494,35426.775909741074
231.34573619999998,3.9841279999999997,2,2458337.7034143996,14.765313879719464,37483.009078656694
231.3458752,3.9839373999999994,2,2458337.7034143996,14.752513562410783,37927.53126561608
231.3457823,3.984152,2,2458473.0567593,14.716838500150951,38982.04333500594
231.3457529,3.9840974,2,2458473.0615741,14.728729989625238,38950.04862234846
231.3457548,3.9841332,2,2458473.0663889,14.72739960207916,39221.13516552768
231.3457905,3.9840974,2,2458473.0708565,14.748174050972274,38683.91137169043
231.3457551,3.9841106,2,2458477.0605324,14.773318510314049,37624.661023301305
231.3457904,3.9841741,2,2458477.0702894,14.74438856050066,38751.14825195497
231.3457959,3.9841477,2,2458477.0751736,14.736617916184132,38993.55521349279
231.3457511,3.9840858,2,2458483.0598148,14.77310559111862,29914.225528489842
231.3457887,3.9840706,2,2458483.0640509,14.796268149842831,37484.58785025128
231.3457397,3.9840801,2,2458483.069838,14.790041607983039,37926.55157499162
231.3457918,3.9840697,2,2458483.0746991,14.753314465009218,39456.10530354415
231.3457463,3.9840167999999996,2,2458509.0186574,14.760032603957358,39568.26051702209
