#ra,dec,filter(2==r),jd,mag,flux
8.8668294,-8.500681199999999,2,2458354.908588,15.756597815899031,14398.620113632212
8.866874699999999,-8.500379800000001,2,2458360.8529051,15.7605777246951,14526.764970980534
8.866712699999999,-8.5006817,2,2458366.8728472,16.116852499895458,10492.983743974106
8.866752,-8.5004954,2,2458367.8747337996,15.761308154563306,14748.801756778423
8.866781199999998,-8.5007528,2,2458369.9155671,16.109921707543002,10473.96979116132
8.8668211,-8.500616699999998,2,2458370.9376389,16.070689758508767,11432.049509050368
8.866717,-8.500715099999999,2,2458372.8572917003,16.13102482101867,10363.586380334129
8.8668441,-8.5005725,2,2458375.8547106003,15.862566477232681,13223.103860608417
8.8667687,-8.500655400000001,2,2458376.9130208,16.084680562996482,11092.968373544853
8.8668119,-8.5006506,2,2458378.8823495,15.755756506590465,14719.647077742397
8.8667499,-8.500621800000001,2,2458382.8309375,16.00818436226669,12209.173210955068
8.866783199999999,-8.500684699999999,2,2458388.7908681,15.790236257747216,14072.961414147514
8.866857300000001,-8.5005962,2,2458429.7600926002,15.75478281666896,14443.979831291883
8.8667981,-8.5005763,2,2458432.7712268997,15.867880378606916,13134.327726370868
8.8667794,-8.5006521,2,2458434.6889352,16.05221570747777,11487.716704455697
8.866845399999999,-8.500662,2,2458456.666331,15.758530270557591,14640.229736241628
8.8669754,-8.500655300000002,2,2458456.685463,15.764372735088116,15094.228006713698
8.866818400000001,-8.5006935,2,2458474.6277546003,15.839742190773336,13532.658539392001
8.8668056,-8.5006903,2,2458482.6835648,16.098747376325615,9683.24788078803
8.866877,-8.5008594,2,2458482.6854051,16.128220268850875,8969.988628132507
8.8666469,-8.500622300000002,2,2458491.6012153,15.798263154239494,14326.322993619598
8.8668791,-8.500712199999999,2,2458522.6017014,15.72174679879188,14425.845628679966
8.8667906,-8.5006832,2,2458523.6035069,16.050577948787204,10746.049097620044
8.8668347,-8.500716800000001,2,2458523.6083681,16.029248211265276,10793.957791966517
8.8667799,-8.5006346,2,2458523.6132292,16.03302566201107,10605.953902928202
8.866724000000003,-8.5007079,2,2458523.6180787003,15.975916764073075,11057.916199015928
